date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:07	29764/29764	---M-Z	200	added ('OK')	text/html	etag:%227444-5f96f612-0;gz%22	https://themezinho.net/qesco/	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/index.html	(from )
12:37:08	67/67	---M--	200	added ('OK')	text/plain	etag:%2243-6163cc7b-0;;;%22	https://themezinho.net/robots.txt		(from )
12:37:09	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2011:35:02%20GMT	http://www.themezinho.net/qesco/preview.png	C:/My%20Web%20Sites/quesco/www.themezinho.net/qesco/preview.0.delayed	(from https://themezinho.net/qesco/)
12:37:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2011:35:07%20GMT	https://www.themezinho.net/qesco/preview.png	C:/My%20Web%20Sites/quesco/www.themezinho.net/qesco/preview.1.delayed	(from https://themezinho.net/qesco/)
12:37:28	38617/38617	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Jul%202023%2011:35:12%20GMT	https://themezinho.net/qesco/preview.png	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/preview.2.delayed	(from https://themezinho.net/qesco/)
12:37:30	6183/6183	---M--	200	added ('OK')	image/png	etag:%221827-5f96f614-0;;;%22	https://themezinho.net/qesco/ico/apple-touch-icon-144-precomposed.png	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/ico/apple-touch-icon-144-precomposed.png	(from https://themezinho.net/qesco/)
12:37:31	5605/5605	---M--	200	added ('OK')	image/png	etag:%2215e5-5f96f615-0;;;%22	https://themezinho.net/qesco/ico/apple-touch-icon-114-precomposed.png	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/ico/apple-touch-icon-114-precomposed.png	(from https://themezinho.net/qesco/)
12:37:32	3819/3819	---M--	200	added ('OK')	image/png	etag:%22eeb-5f96f614-0;;;%22	https://themezinho.net/qesco/ico/apple-touch-icon-72-precomposed.png	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/ico/apple-touch-icon-72-precomposed.png	(from https://themezinho.net/qesco/)
12:37:33	3371/3371	---M--	200	added ('OK')	image/png	etag:%22d2b-5f96f615-0;;;%22	https://themezinho.net/qesco/ico/apple-touch-icon-57-precomposed.png	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/ico/apple-touch-icon-57-precomposed.png	(from https://themezinho.net/qesco/)
12:37:34	2417/2417	---M--	200	added ('OK')	image/png	etag:%22971-5f96f614-0;;;%22	https://themezinho.net/qesco/ico/favicon.png	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/ico/favicon.png	(from https://themezinho.net/qesco/)
12:37:35	28260/28260	---M-Z	200	added ('OK')	text/css	etag:%226e64-5f987d62-0;gz%22	https://themezinho.net/qesco/css/lineicons.css	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/css/lineicons.css	(from https://themezinho.net/qesco/)
12:37:36	18993/18993	---M-Z	200	added ('OK')	text/css	etag:%224a31-5f987d62-0;gz%22	https://themezinho.net/qesco/css/swiper.min.css	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/css/swiper.min.css	(from https://themezinho.net/qesco/)
12:37:37	2844/2844	---M-Z	200	added ('OK')	text/css	etag:%22b1c-5f987d62-0;gz%22	https://themezinho.net/qesco/css/odometer.min.css	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/css/odometer.min.css	(from https://themezinho.net/qesco/)
12:37:38	14125/14125	---M-Z	200	added ('OK')	text/css	etag:%22372d-5f987d62-0;gz%22	https://themezinho.net/qesco/css/fancybox.min.css	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/css/fancybox.min.css	(from https://themezinho.net/qesco/)
12:37:39	160357/160357	---M-Z	200	added ('OK')	text/css	etag:%2227265-5f987d62-0;gz%22	https://themezinho.net/qesco/css/bootstrap.min.css	C:/My%20Web%20Sites/quesco/themezinho.net/qesco/css/bootstrap.min.css	(from https://themezinho.net/qesco/)
